Date,Time,sensor,status
2024/2/1,15:45:03,121,0.5
2024/2/1,15:45:00,24,0.5
2024/2/1,15:45:00,25,0.5
2024/2/1,15:44:59,21,0.5
2024/2/1,15:44:57,22,0.5
2024/2/1,15:44:57,27,0.5
2024/2/1,15:44:57,31,0.5
2024/2/1,15:44:56,23,0.5
2024/2/1,15:44:56,25,1
2024/2/1,15:44:54,25,0.5
2024/2/1,15:44:52,31,1
2024/2/1,15:44:50,31,0.5
2024/2/1,15:44:50,104,0.5
2024/2/1,15:44:49,24,1
2024/2/1,15:44:48,25,1
2024/2/1,15:44:48,21,1
2024/2/1,15:44:48,41,0.5
2024/2/1,15:44:48,103,1
2024/2/1,15:44:48,22,1
2024/2/1,15:44:47,32,0.5
2024/2/1,15:44:46,23,1
2024/2/1,15:44:46,27,1
2024/2/1,15:44:46,61,0.5
2024/2/1,15:44:45,41,1
2024/2/1,15:44:45,31,1
2024/2/1,15:44:45,62,0.5
2024/2/1,15:44:44,32,1
2024/2/1,15:44:41,33,1
2024/2/1,15:44:40,61,1
2024/2/1,15:44:40,62,1
2024/2/1,15:44:23,62,0.5
2024/2/1,15:44:22,33,0.5
2024/2/1,15:44:18,61,0.5
2024/2/1,15:44:13,61,1
2024/2/1,15:44:13,33,1
2024/2/1,15:44:13,33,0.5
2024/2/1,15:44:13,105,0.5
2024/2/1,15:44:13,61,0.5
2024/2/1,15:44:10,73,0.5
2024/2/1,15:44:08,121,1
2024/2/1,15:44:08,32,0.5
2024/2/1,15:44:08,62,1
2024/2/1,15:44:07,61,1
2024/2/1,15:44:06,73,1
2024/2/1,15:44:05,33,1
2024/2/1,15:44:05,41,0.5
2024/2/1,15:44:04,100,0.5
2024/2/1,15:44:04,46,0.5
2024/2/1,15:44:03,107,1
2024/2/1,15:44:03,31,0.5
2024/2/1,15:44:02,31,1
2024/2/1,15:44:02,43,0.5
2024/2/1,15:44:01,32,1
2024/2/1,15:44:01,44,0.5
2024/2/1,15:44:00,41,1
2024/2/1,15:44:00,51,0.5
2024/2/1,15:43:59,52,0.5
2024/2/1,15:43:58,46,1
2024/2/1,15:43:58,44,1
2024/2/1,15:43:58,43,1
2024/2/1,15:43:56,52,1
2024/2/1,15:43:51,51,1
2024/2/1,15:43:49,52,0.5
2024/2/1,15:43:48,51,0.5
2024/2/1,15:43:30,102,0.5
2024/2/1,15:43:29,46,0.5
2024/2/1,15:43:28,105,1
2024/2/1,15:43:28,52,1
2024/2/1,15:43:28,43,0.5
2024/2/1,15:43:27,51,1
2024/2/1,15:43:25,43,1
2024/2/1,15:43:25,46,1
2024/2/1,15:43:16,43,0.5
2024/2/1,15:43:16,46,0.5
2024/2/1,15:43:16,103,0.5
2024/2/1,15:43:13,44,0.5
2024/2/1,15:43:03,43,1
2024/2/1,15:43:02,46,1
2024/2/1,15:43:01,44,1
2024/2/1,15:43:01,104,1
2024/2/1,15:43:00,42,0.5
2024/2/1,15:43:00,43,0.5
2024/2/1,15:43:00,46,0.5
2024/2/1,15:42:59,41,0.5
2024/2/1,15:42:58,2,0.5
2024/2/1,15:42:58,3,0.5
2024/2/1,15:42:57,43,1
2024/2/1,15:42:57,46,1
2024/2/1,15:42:56,11,0.5
2024/2/1,15:42:56,42,1
2024/2/1,15:42:54,2,1
2024/2/1,15:42:54,3,1
2024/2/1,15:42:52,11,1
2024/2/1,15:42:38,13,0.5
2024/2/1,15:42:35,11,0.5
2024/2/1,15:42:32,13,1
2024/2/1,15:42:32,3,0.5
2024/2/1,15:42:31,2,0.5
2024/2/1,15:42:30,102,1
2024/2/1,15:42:29,27,0.5
2024/2/1,15:42:28,31,0.5
2024/2/1,15:42:28,11,1
2024/2/1,15:42:28,23,0.5
2024/2/1,15:42:28,22,0.5
2024/2/1,15:42:27,21,0.5
2024/2/1,15:42:27,24,0.5
2024/2/1,15:42:26,25,0.5
2024/2/1,15:42:26,2,1
2024/2/1,15:42:26,100,1
2024/2/1,15:42:25,41,1
2024/2/1,15:42:25,3,1
2024/2/1,15:42:25,31,1
2024/2/1,15:42:25,23,1
2024/2/1,15:42:24,21,1
2024/2/1,15:42:24,27,1
2024/2/1,15:42:24,24,1
2024/2/1,15:42:24,22,1
2024/2/1,15:42:23,45,0.5
2024/2/1,15:42:15,27,0.5
2024/2/1,15:42:14,22,0.5
2024/2/1,15:42:14,24,0.5
2024/2/1,15:42:14,46,0.5
2024/2/1,15:42:14,21,0.5
2024/2/1,15:42:12,22,1
2024/2/1,15:42:12,24,1
2024/2/1,15:42:12,27,1
2024/2/1,15:42:11,46,1
2024/2/1,15:42:10,23,0.5
2024/2/1,15:42:10,27,0.5
2024/2/1,15:42:09,22,0.5
2024/2/1,15:42:09,45,1
2024/2/1,15:42:07,24,0.5
2024/2/1,15:42:07,23,1
2024/2/1,15:42:05,24,1
2024/2/1,15:42:04,23,0.5
2024/2/1,15:42:04,22,1
2024/2/1,15:42:02,24,0.5
2024/2/1,15:42:00,23,1
