Date,Time,sensor,status
2024/1/29,17:08:01,104,0.5
2024/1/29,17:08:00,44,1
2024/1/29,17:07:57,43,0.5
2024/1/29,17:07:57,44,0.5
2024/1/29,17:07:56,46,0.5
2024/1/29,17:07:52,46,1
2024/1/29,17:07:51,44,1
2024/1/29,17:07:50,43,1
2024/1/29,17:07:47,43,0.5
2024/1/29,17:07:47,44,0.5
2024/1/29,17:07:45,46,0.5
2024/1/29,17:07:41,46,1
2024/1/29,17:07:40,43,1
2024/1/29,17:07:40,44,1
2024/1/29,17:07:38,43,0.5
2024/1/29,17:07:37,44,0.5
2024/1/29,17:07:36,46,0.5
2024/1/29,17:07:30,44,1
2024/1/29,17:07:30,42,0.5
2024/1/29,17:07:28,42,1
2024/1/29,17:07:27,44,0.5
2024/1/29,17:07:20,103,0.5
2024/1/29,17:07:17,42,0.5
2024/1/29,17:07:17,44,1
2024/1/29,17:07:16,46,1
2024/1/29,17:07:15,41,0.5
2024/1/29,17:07:15,31,0.5
2024/1/29,17:07:14,43,1
2024/1/29,17:07:14,3,0.5
2024/1/29,17:07:14,27,0.5
2024/1/29,17:07:14,104,1
2024/1/29,17:07:13,42,1
2024/1/29,17:07:13,23,0.5
2024/1/29,17:07:12,25,0.5
2024/1/29,17:07:12,22,0.5
2024/1/29,17:07:12,3,1
2024/1/29,17:07:11,41,1
2024/1/29,17:07:11,21,0.5
2024/1/29,17:07:11,31,1
2024/1/29,17:07:09,25,1
2024/1/29,17:07:09,22,1
2024/1/29,17:07:09,21,1
2024/1/29,17:07:09,27,1
2024/1/29,17:07:03,25,0.5
2024/1/29,17:07:02,22,0.5
2024/1/29,17:07:01,27,0.5
2024/1/29,17:07:00,21,0.5
2024/1/29,17:06:59,24,0.5
2024/1/29,17:06:59,23,1
2024/1/29,17:06:59,27,1
2024/1/29,17:06:58,22,1
2024/1/29,17:06:55,22,0.5
2024/1/29,17:06:55,27,0.5
2024/1/29,17:06:53,21,1
2024/1/29,17:06:52,24,1
2024/1/29,17:06:51,21,0.5
2024/1/29,17:06:51,25,1
2024/1/29,17:06:51,25,0.5
2024/1/29,17:06:50,24,0.5
2024/1/29,17:06:49,27,1
2024/1/29,17:06:48,22,1
